x,y,radiation
-1.5036,26.5572,2.85
-1.5036,27.0583,2.54
-1.5036,27.5594,2.18
-2.0049,0.0,4.82
-2.0049,0.5011,4.67
-2.0049,1.0022,4.62
-2.0049,1.5032,4.56
-2.0049,2.0043,4.47
-2.0049,2.5054,4.32
-2.0049,3.0065,4.35
-2.0049,3.5076,4.26
-2.0049,4.0086,4.33
-2.0049,4.5097,4.31
-2.0049,5.0108,4.29
-2.0049,5.5119,4.28
-2.0049,6.013,4.25
-2.0049,6.514,4.25
-2.0049,7.0151,4.31
-2.0049,7.5162,4.24
-2.0049,8.0173,4.22
-2.0049,8.5184,4.25
-2.0049,9.0194,4.24
-2.0049,9.5205,4.25
-2.0049,10.0216,4.24
-2.0049,10.5227,4.24
-2.0049,11.0237,4.23
-2.0049,11.5248,4.31
-2.0049,12.0259,4.30
-2.0049,12.527,4.26
-2.0049,13.0281,4.25
-2.0049,13.5291,4.24
-2.0048,14.0302,4.23
-2.0048,14.5313,4.19
-2.0048,15.0324,4.18
-2.0048,15.5335,4.17
-2.0048,16.0345,4.15
-2.0048,16.5356,4.22
-2.0048,17.0367,4.20
-2.0048,17.5378,4.17
-2.0048,18.0389,4.15
-2.0048,18.5399,4.12
-2.0048,19.041,4.09
-2.0048,19.5421,4.10
-2.0048,20.0432,4.09
-2.0048,20.5443,4.01
-2.0048,21.0453,4.00
-2.0048,21.5464,3.98
-2.0048,22.0475,3.98
-2.0048,22.5486,3.94
-2.0048,23.0496,3.89
-2.0048,23.5507,3.82
-2.0048,24.0518,3.79
-2.0048,24.5529,3.65
-2.0048,25.054,3.53
-2.0048,25.555,3.37
-2.0048,26.0561,3.11
-2.0048,26.5572,2.92
-2.0048,27.0583,2.65
-2.0048,27.5594,2.39
-2.5061,0.0,4.82
-2.5061,0.5011,4.84
-2.5061,1.0022,4.70
-2.5061,1.5032,4.73
-2.5061,2.0043,4.68
-2.5061,2.5054,4.59
-2.5061,3.0065,4.53
-2.5061,3.5076,4.51
-2.5061,4.0086,4.50
-2.5061,4.5097,4.46
-2.5061,5.0108,4.44
-2.5061,5.5119,4.41
-2.5061,6.013,4.41
-2.5061,6.514,4.47
-2.5061,7.0151,4.46
-2.5061,7.5162,4.42
-2.5061,8.0173,4.41
-2.5061,8.5184,4.47
-2.5061,9.0194,4.45
-2.5061,9.5205,4.46
-2.5061,10.0216,4.45
-2.5061,10.5227,4.41
-2.5061,11.0237,4.41
-2.5061,11.5248,4.47
-2.5061,12.0259,4.47
-2.5061,12.527,4.42
-2.5061,13.0281,4.40
-2.5061,13.5291,4.44
-2.5061,14.0302,4.43
-2.5061,14.5313,4.50
-2.5061,15.0324,4.49
-2.5061,15.5335,4.34
-2.5061,16.0345,4.33
-2.5061,16.5356,4.37
-2.5061,17.0367,4.36
-2.5061,17.5378,4.36
-2.5061,18.0389,4.34
-2.5061,18.5399,4.32
-2.5061,19.041,4.30
-2.5061,19.5421,4.30
-2.5061,20.0432,4.29
-2.5061,20.5443,4.22
-2.5061,21.0453,4.21
-2.5061,21.5464,4.12
-2.5061,22.0475,4.09
-2.5061,22.5486,4.07
-2.5061,23.0496,4.03
-2.506,23.5507,3.97
-2.5061,24.0518,3.89
-2.506,24.5529,3.80
-2.506,25.054,3.62
-2.506,25.555,3.57
-2.506,26.0561,3.39
-2.506,26.5572,3.09
-2.506,27.0583,2.85
-2.506,27.5594,2.50
-3.0073,0.0,4.85
-3.0073,0.5011,4.83
-3.0073,1.0022,4.77
-3.0073,1.5032,4.77
-3.0073,2.0043,4.76
-3.0073,2.5054,4.70
-3.0073,3.0065,4.69
-3.0073,3.5076,4.66
-3.0073,4.0086,4.62
-3.0073,4.5097,4.63
-3.0073,5.0108,4.61
-3.0073,5.5119,4.58
-3.0073,6.013,4.57
-3.0073,6.514,4.58
-3.0073,7.0151,4.57
-3.0073,7.5162,4.58
-3.0073,8.0173,4.57
-3.0073,8.5184,4.53
-3.0073,9.0194,4.52
-3.0073,9.5205,4.56
-3.0073,10.0216,4.55
-3.0073,10.5227,4.58
-3.0073,11.0237,4.57
-3.0073,11.5248,4.55
-3.0073,12.0259,4.54
-3.0073,12.527,4.54
-3.0073,13.0281,4.53
-3.0073,13.5291,4.52
-3.0073,14.0302,4.51
-3.0073,14.5313,4.50
-3.0073,15.0324,4.49
-3.0073,15.5335,4.56
-3.0073,16.0345,4.54
-3.0073,16.5356,4.52
-3.0073,17.0367,4.51
-3.0073,17.5378,4.49
-3.0073,18.0389,4.46
-3.0073,18.5399,4.43
-3.0073,19.041,4.41
-3.0073,19.5421,4.41
-3.0073,20.0432,4.38
-3.0073,20.5443,4.37
-3.0073,21.0453,4.34
-3.0073,21.5464,4.31
-3.0073,22.0475,4.28
-3.0073,22.5486,4.25
-3.0073,23.0497,4.22
-3.0073,23.5507,4.03
-3.0073,24.0518,3.98
-3.0073,24.5529,3.91
-3.0073,25.054,3.83
-3.0073,25.555,3.58
-3.0073,26.0561,3.42
-3.0073,26.5572,3.15
