x,y,radiation
1.7764e-15,0.0,0.27
1.7764e-15,3.0,0.23
-5.3291e-15,6.0,0.17
0.0,9.0,0.22
0.0,12.0,0.22
-3.5527e-15,15.0,0.17
-1.7764e-15,18.0,0.12
-3.5527e-15,21.0,0.22
-1.7764e-15,24.0,0.12
3.0,0.0,0.26
3.0,3.0,0.05
3.0,6.0,0.08
3.0,9.0,0.04
3.0,12.0,0.01
3.0,15.0,0.00
3.0,18.0,0.03
3.0,21.0,0.00
3.0,24.0,0.07
6.0,0.0,0.26
6.0,3.0,0.04
6.0,6.0,0.06
6.0,9.0,0.00
6.0,12.0,0.06
6.0,15.0,0.00
6.0,18.0,0.01
6.0,21.0,0.06
6.0,24.0,0.00
9.0,-1.4211e-14,0.28
9.0,3.0,0.06
9.0,6.0,0.02
9.0,9.0,0.01
9.0,12.0,0.00
9.0,15.0,0.03
9.0,18.0,0.00
9.0,21.0,0.00
9.0,24.0,0.00
12.0,-1.4211e-14,0.23
12.0,3.0,0.05
12.0,6.0,0.00
12.0,9.0,0.00
12.0,12.0,0.02
12.0,15.0,0.00
12.0,18.0,0.01
12.0,21.0,0.07
12.0,24.0,0.02
15.0,0.0,0.15
15.0,3.0,0.00
15.0,6.0,0.00
15.0,9.0,0.01
15.0,12.0,0.00
15.0,15.0,0.00
15.0,18.0,0.00
15.0,21.0,0.03
15.0,24.0,0.02
18.0,0.0,0.22
18.0,3.0,0.06
18.0,6.0,0.01
18.0,9.0,0.01
18.0,12.0,0.02
18.0,15.0,0.00
18.0,18.0,0.00
18.0,21.0,0.04
18.0,24.0,0.00
21.0,-7.1054e-15,0.19
21.0,3.0,0.02
21.0,6.0,0.08
21.0,9.0,0.00
21.0,12.0,0.02
21.0,15.0,0.01
21.0,18.0,0.00
21.0,21.0,0.00
21.0,24.0,0.00
24.0,-1.4211e-14,0.30
24.0,3.0,0.05
24.0,6.0,0.05
24.0,9.0,0.02
24.0,12.0,0.01
24.0,15.0,0.00
24.0,18.0,0.00
24.0,21.0,0.00
24.0,24.0,0.00
27.0,0.0,0.31
27.0,3.0,0.03
27.0,6.0,0.00
27.0,9.0,0.02
27.0,12.0,0.00
27.0,15.0,0.00
27.0,18.0,0.00
27.0,21.0,0.00
27.0,24.0,0.00
30.0,-1.4211e-14,0.29
30.0,3.0,0.08
30.0,6.0,0.02
30.0,9.0,0.04
30.0,12.0,0.00
30.0,15.0,0.00
30.0,18.0,0.00
30.0,21.0,0.00
30.0,24.0,0.00
33.0,-1.4211e-14,0.18
33.0,3.0,0.00
33.0,6.0,0.00
33.0,9.0,0.04
33.0,12.0,0.00
33.0,15.0,0.00
33.0,18.0,0.00
33.0,21.0,0.00
33.0,24.0,0.00
36.0,-1.4211e-14,0.28
36.0,3.0,0.01
36.0,6.0,0.04
36.0,9.0,0.01
36.0,12.0,0.00
36.0,15.0,0.03
36.0,18.0,0.01
36.0,21.0,0.00
36.0,24.0,0.00
39.0,-1.4211e-14,0.31
39.0,3.0,0.13
39.0,6.0,0.04
39.0,9.0,0.04
39.0,12.0,0.00
39.0,15.0,0.00
39.0,18.0,0.04
39.0,21.0,0.00
39.0,24.0,0.00
42.0,-7.1054e-15,-1.0
42.0,3.0,-1.0
42.0,6.0,-1.0
42.0,9.0,-1.0
42.0,12.0,0.00
42.0,15.0,0.00
42.0,18.0,0.00
42.0,21.0,0.00
42.0,24.0,0.00
45.0,-7.1054e-15,-1.0
45.0,3.0,-1.0
45.0,6.0,-1.0
45.0,9.0,-1.0
45.0,12.0,0.00
45.0,15.0,0.03
45.0,18.0,0.00
45.0,21.0,0.00
45.0,24.0,0.00
48.0,0.0,-1.0
48.0,3.0,-1.0
48.0,6.0,-1.0
48.0,9.0,-1.0
48.0,12.0,0.00
48.0,15.0,0.00
48.0,18.0,0.00
48.0,21.0,0.00
48.0,24.0,0.00
51.0,0.0,-1.0
51.0,3.0,-1.0
51.0,6.0,-1.0
51.0,9.0,-1.0
51.0,12.0,0.00
51.0,15.0,0.01
51.0,18.0,0.02
51.0,21.0,0.00
51.0,24.0,0.00
54.0,-1.4211e-14,0.24
54.0,3.0,0.03
54.0,6.0,0.02
54.0,9.0,0.00
54.0,12.0,0.00
54.0,15.0,0.00
54.0,18.0,0.00
54.0,21.0,0.02
54.0,24.0,0.00
57.0,-1.4211e-14,0.17
57.0,3.0,0.02
57.0,6.0,0.02
57.0,9.0,0.04
57.0,12.0,0.00
57.0,15.0,0.01
57.0,18.0,0.00
57.0,21.0,0.00
57.0,24.0,0.00
60.0,0.0,0.25
60.0,3.0,0.01
60.0,6.0,0.03
60.0,9.0,0.00
60.0,12.0,0.03
60.0,15.0,0.00
60.0,18.0,0.00
60.0,21.0,0.00
60.0,24.0,0.00
63.0,0.0,0.22
63.0,3.0,0.02
63.0,6.0,0.00
63.0,9.0,0.02
63.0,12.0,0.00
63.0,15.0,0.00
63.0,18.0,0.00
63.0,21.0,0.00
63.0,24.0,0.00
66.0,-1.4211e-14,0.26
66.0,3.0,0.02
66.0,6.0,0.01
66.0,9.0,0.00
66.0,12.0,0.00
66.0,15.0,0.00
66.0,18.0,0.06
66.0,21.0,0.00
66.0,24.0,0.04
69.0,-2.1316e-14,0.20
69.0,3.0,0.04
69.0,6.0,0.01
69.0,9.0,0.02
69.0,12.0,0.00
69.0,15.0,0.00
69.0,18.0,0.00
69.0,21.0,0.03
69.0,24.0,0.00
72.0,-1.4211e-14,0.26
72.0,3.0,0.04
72.0,6.0,0.01
72.0,9.0,0.00
72.0,12.0,0.02
72.0,15.0,0.00
72.0,18.0,0.03
72.0,21.0,0.00
72.0,24.0,0.00
75.0,-2.1316e-14,0.35
75.0,3.0,0.07
75.0,6.0,0.02
75.0,9.0,0.13
75.0,12.0,0.00
75.0,15.0,0.02
75.0,18.0,0.06
75.0,21.0,0.05
75.0,24.0,0.00
78.0,-1.4211e-14,0.44
78.0,3.0,0.19
78.0,6.0,0.13
78.0,9.0,0.32
78.0,12.0,0.27
78.0,15.0,0.20
78.0,18.0,0.15
78.0,21.0,0.17
78.0,24.0,0.17
